datetime,open,high,low,close,volume,oi
2016-01-04T09:15:00+05:30,16966.35,16966.35,16575.45,16599.15,0,0
2016-01-05T09:15:00+05:30,16652.05,16670.2,16474.85,16542.5,0,0
2016-01-06T09:15:00+05:30,16505.45,16614.95,16377.65,16433.15,0,0
2016-01-07T09:15:00+05:30,16256.55,16256.55,16049.75,16073.85,0,0
2016-01-08T09:15:00+05:30,16135.4,16229.0,16104.1,16142.65,0,0
2016-01-11T09:15:00+05:30,15979.05,16156.8,15840.6,16016.25,0,0
2016-01-12T09:15:00+05:30,16080.4,16080.4,15699.4,15734.8,0,0
2016-01-13T09:15:00+05:30,15835.05,15956.25,15532.25,15871.85,0,0
2016-01-14T09:15:00+05:30,15612.1,15803.2,15453.4,15609.8,0,0
2016-01-15T09:15:00+05:30,15621.85,15650.7,15154.35,15206.3,0,0
2016-01-18T09:15:00+05:30,15165.2,15270.4,14956.95,15020.8,0,0
2016-01-19T09:15:00+05:30,15086.75,15338.2,15086.75,15269.65,0,0
2016-01-20T09:15:00+05:30,15059.5,15533.45,14754.65,14935.5,0,0
2016-01-21T09:15:00+05:30,15132.2,15364.6,14918.15,15101.2,0,0
2016-01-22T09:15:00+05:30,15343.15,15575.65,15274.9,15497.55,0,0
2016-01-25T09:15:00+05:30,15667.0,15682.65,15495.1,15561.15,0,0
2016-01-27T09:15:00+05:30,15648.4,15673.95,15442.2,15534.6,0,0
2016-01-28T09:15:00+05:30,15569.55,15572.2,15349.75,15381.45,0,0
2016-01-29T09:15:00+05:30,15140.15,15554.9,15136.85,15522.4,0,0
2016-02-01T09:15:00+05:30,15547.75,15565.5,15281.35,15314.45,0,0
2016-02-02T09:15:00+05:30,15353.6,15463.45,15018.85,15068.0,0,0
2016-02-03T09:15:00+05:30,14897.4,14947.8,14777.75,14834.05,0,0
2016-02-04T09:15:00+05:30,14969.2,14978.35,14761.4,14869.15,0,0
2016-02-05T09:15:00+05:30,14928.25,15211.9,14890.9,15162.05,0,0
2016-02-08T09:15:00+05:30,15206.3,15367.9,14960.1,15046.8,0,0
2016-02-09T09:15:00+05:30,14830.4,14964.9,14760.8,14875.1,0,0
2016-02-10T09:15:00+05:30,14740.2,14779.15,14490.2,14588.45,0,0
2016-02-11T09:15:00+05:30,14518.65,14530.8,13969.85,14028.55,0,0
2016-02-12T09:15:00+05:30,14088.6,14154.55,13810.6,13971.5,0,0
2016-02-15T09:15:00+05:30,14120.9,14548.15,14120.5,14445.0,0,0
2016-02-16T09:15:00+05:30,14602.25,14602.25,14136.8,14166.45,0,0
2016-02-17T09:15:00+05:30,14165.25,14186.1,13892.1,14119.85,0,0
2016-02-18T09:15:00+05:30,14301.75,14385.65,14180.9,14298.15,0,0
2016-02-19T09:15:00+05:30,14243.45,14395.85,14207.35,14344.2,0,0
2016-02-22T09:15:00+05:30,14331.2,14467.15,14322.65,14384.8,0,0
2016-02-23T09:15:00+05:30,14373.3,14373.3,13961.75,14008.35,0,0
2016-02-24T09:15:00+05:30,13873.7,13974.5,13760.25,13794.05,0,0
