date,open,high,low,close,volume,dividends,stock splits
2024-06-19,21.649999618530273,21.649999618530273,20.719999313354492,20.829999923706055,1968516,0.0,0.0
2024-06-20,21.25,21.25,20.770000457763672,20.989999771118164,1504130,0.0,0.0
2024-06-21,20.989999771118164,21.190000534057617,20.90999984741211,20.959999084472656,2361881,0.0,0.0
2024-06-24,21.290000915527344,21.290000915527344,20.649999618530273,21.020000457763672,940812,0.0,0.0
2024-06-25,21.219999313354492,21.219999313354492,20.90999984741211,20.969999313354492,3232564,0.0,0.0
2024-06-26,21.18000030517578,21.18000030517578,20.860000610351562,20.920000076293945,821685,0.0,0.0
2024-06-27,21.100000381469727,21.100000381469727,20.709999084472656,20.940000534057617,1569036,0.0,0.0
2024-06-28,21.18000030517578,21.290000915527344,20.969999313354492,21.049999237060547,1490774,0.0,0.0
2024-07-01,21.260000228881836,21.290000915527344,20.8700008392334,21.260000228881836,7737544,0.0,0.0
2024-07-02,21.479999542236328,21.479999542236328,20.6299991607666,21.139999389648438,3907771,0.0,0.0
2024-07-03,21.450000762939453,21.450000762939453,20.899999618530273,21.290000915527344,987855,0.0,0.0
2024-07-04,21.610000610351562,21.610000610351562,21.079999923706055,21.43000030517578,1925661,0.0,0.0
2024-07-05,21.639999389648438,21.649999618530273,21.40999984741211,21.579999923706055,1732097,0.0,0.0
2024-07-08,22.0,22.0,21.469999313354492,21.540000915527344,1372726,0.0,0.0
2024-07-09,21.719999313354492,21.760000228881836,21.329999923706055,21.59000015258789,1315583,0.0,0.0
2024-07-10,22.25,22.25,21.09000015258789,21.510000228881836,1818443,0.0,0.0
2024-07-11,21.510000228881836,21.639999389648438,21.469999313354492,21.559999465942383,972744,0.0,0.0
2024-07-12,21.59000015258789,21.65999984741211,21.510000228881836,21.540000915527344,863172,0.0,0.0
2024-07-15,21.540000915527344,21.700000762939453,21.459999084472656,21.68000030517578,765502,0.0,0.0
2024-07-16,21.489999771118164,21.799999237060547,21.489999771118164,21.700000762939453,1837520,0.0,0.0
2024-07-18,21.709999084472656,21.809999465942383,21.3799991607666,21.5,2051238,0.0,0.0
2024-07-19,22.149999618530273,22.149999618530273,21.020000457763672,21.059999465942383,2258431,0.0,0.0
2024-07-22,20.450000762939453,21.700000762939453,20.450000762939453,21.270000457763672,1927609,0.0,0.0
2024-07-23,21.489999771118164,21.5,20.510000228881836,21.200000762939453,13507280,0.0,0.0
2024-07-24,21.40999984741211,21.40999984741211,21.149999618530273,21.389999389648438,855386,0.0,0.0
2024-07-25,21.899999618530273,21.899999618530273,21.139999389648438,21.329999923706055,1143652,0.0,0.0
2024-07-26,21.700000762939453,21.700000762939453,21.3799991607666,21.68000030517578,1075736,0.0,0.0
2024-07-29,21.700000762939453,21.920000076293945,21.68000030517578,21.8799991607666,1459088,0.0,0.0
2024-07-30,22.549999237060547,22.549999237060547,21.670000076293945,22.010000228881836,1025125,0.0,0.0
2024-07-31,22.549999237060547,22.549999237060547,22.010000228881836,22.1200008392334,940303,0.0,0.0
2024-08-01,22.34000015258789,22.34000015258789,21.860000610351562,21.959999084472656,1791187,0.0,0.0
2024-08-02,22.600000381469727,22.600000381469727,21.610000610351562,21.75,5357833,0.0,0.0
2024-08-05,22.399999618530273,22.399999618530273,20.850000381469727,20.989999771118164,18453550,0.0,0.0
2024-08-06,21.139999389648438,21.399999618530273,20.799999237060547,20.860000610351562,1583586,0.0,0.0
2024-08-07,21.5,21.5,20.90999984741211,21.31999969482422,1238906,0.0,0.0
2024-08-08,21.700000762939453,21.700000762939453,21.1200008392334,21.25,733612,0.0,0.0
2024-08-09,21.899999618530273,22.06999969482422,21.239999771118164,21.40999984741211,1146251,0.0,0.0
2024-08-12,22.049999237060547,22.049999237060547,21.18000030517578,21.43000030517578,1103651,0.0,0.0
2024-08-13,21.559999465942383,21.579999923706055,21.270000457763672,21.309999465942383,7160596,0.0,0.0
2024-08-14,21.540000915527344,21.540000915527344,21.100000381469727,21.15999984741211,957904,0.0,0.0
2024-08-16,21.799999237060547,21.799999237060547,21.209999084472656,21.549999237060547,1219290,0.0,0.0
2024-08-19,21.799999237060547,21.829999923706055,21.56999969482422,21.610000610351562,1377570,0.0,0.0
2024-08-20,21.6200008392334,21.8799991607666,21.600000381469727,21.790000915527344,805659,0.0,0.0
2024-08-21,21.8700008392334,21.899999618530273,21.719999313354492,21.8799991607666,1289666,0.0,0.0
2024-08-22,21.989999771118164,22.059999465942383,21.920000076293945,22.040000915527344,1190937,0.0,0.0
2024-08-23,22.229999542236328,22.229999542236328,21.899999618530273,21.920000076293945,996105,0.0,0.0
2024-08-26,22.600000381469727,22.600000381469727,21.93000030517578,22.040000915527344,942662,0.0,0.0
2024-08-28,22.270000457763672,22.270000457763672,21.90999984741211,22.1200008392334,926779,0.0,0.0
2024-08-29,22.239999771118164,22.25,21.899999618530273,22.020000457763672,5272681,0.0,0.0
2024-08-30,22.020000457763672,22.25,22.020000457763672,22.190000534057617,1148243,0.0,0.0
2024-09-02,22.450000762939453,22.450000762939453,22.079999923706055,22.149999618530273,1674262,0.0,0.0
2024-09-03,22.309999465942383,22.309999465942383,22.030000686645508,22.190000534057617,856179,0.0,0.0
2024-09-04,22.850000381469727,22.850000381469727,21.979999542236328,22.190000534057617,1149814,0.0,0.0
2024-09-05,22.75,22.75,21.959999084472656,22.239999771118164,871388,0.0,0.0
2024-09-06,22.350000381469727,22.350000381469727,21.920000076293945,21.959999084472656,13706100,0.0,0.0
2024-09-09,22.600000381469727,22.600000381469727,21.68000030517578,21.899999618530273,1141561,0.0,0.0
2024-09-10,22.1299991607666,22.350000381469727,21.790000915527344,22.170000076293945,1755079,0.0,0.0
2024-09-11,22.350000381469727,22.350000381469727,22.010000228881836,22.079999923706055,1177826,0.0,0.0
