date,open,high,low,close,volume,dividends,stock splits
2021-02-12,367.45001220703125,367.45001220703125,359.5899963378906,361.95001220703125,33623,0.0,0.0
2021-02-15,368.0,368.0,355.0,365.32000732421875,80189,0.0,0.0
2021-02-16,374.0,374.0,356.04998779296875,366.4100036621094,53732,0.0,0.0
2021-02-17,358.20001220703125,371.95001220703125,358.20001220703125,367.25,54159,0.0,0.0
2021-02-18,372.70001220703125,372.70001220703125,360.95001220703125,369.5899963378906,40528,0.0,0.0
2021-02-19,374.79998779296875,374.79998779296875,361.29998779296875,364.1300048828125,58404,0.0,0.0
2021-02-22,369.20001220703125,369.70001220703125,358.0,359.57000732421875,102124,0.0,0.0
2021-02-23,368.0,368.0,312.79998779296875,360.3900146484375,45922,0.0,0.0
2021-02-24,368.0,369.29998779296875,354.0,363.4100036621094,33188,0.0,0.0
2021-02-25,374.0,374.0,364.239990234375,368.5899963378906,42433,0.0,0.0
2021-02-26,359.1499938964844,372.0,358.1000061035156,360.6199951171875,192917,0.0,0.0
2021-03-01,368.0,368.0,359.5,361.4100036621094,81219,0.0,0.0
2021-03-02,368.0,368.739990234375,354.0,368.0400085449219,49110,0.0,0.0
2021-03-03,378.0,378.0,363.0,373.0899963378906,51978,0.0,0.0
2021-03-04,378.0,378.0,358.6400146484375,374.7099914550781,49897,0.0,0.0
2021-03-05,383.0,383.0,367.54998779296875,369.2699890136719,53970,0.0,0.0
2021-03-08,387.0,387.0,363.04998779296875,368.3299865722656,37694,0.0,0.0
2021-03-09,378.0,378.0,363.30999755859375,365.739990234375,42816,0.0,0.0
2021-03-10,372.8999938964844,372.8999938964844,365.5,367.5,22602,0.0,0.0
2021-03-12,372.79998779296875,379.8999938964844,361.04998779296875,364.8500061035156,53939,0.0,0.0
2021-03-15,412.29998779296875,412.29998779296875,358.25,362.5,71191,0.0,0.0
2021-03-16,372.0,372.0,355.80999755859375,362.2900085449219,26985,0.0,0.0
2021-03-17,369.67999267578125,369.67999267578125,356.04998779296875,357.1499938964844,77669,0.0,0.0
2021-03-18,363.8999938964844,367.0,350.1000061035156,353.8699951171875,85303,0.0,0.0
2021-03-19,363.0,363.0,344.55999755859375,356.1199951171875,81945,0.0,0.0
2021-03-22,365.0,365.0,351.0,359.75,45782,0.0,0.0
2021-03-23,372.79998779296875,372.79998779296875,354.010009765625,363.6700134277344,82283,0.0,0.0
2021-03-24,369.6000061035156,369.6000061035156,355.1000061035156,359.1199951171875,75935,0.0,0.0
2021-03-25,368.0,368.0,350.510009765625,351.5,101877,0.0,0.0
2021-03-26,365.0,365.0,345.54998779296875,355.510009765625,40447,0.0,0.0
2021-03-30,368.0,368.0,352.510009765625,357.5799865722656,84204,0.0,0.0
2021-03-31,367.5,367.5,353.04998779296875,359.79998779296875,43563,0.0,0.0
2021-04-01,367.3999938964844,367.94000244140625,354.0,362.8999938964844,138572,0.0,0.0
2021-04-05,367.3999938964844,372.0,355.2099914550781,359.95001220703125,121134,0.0,0.0
2021-04-06,367.3999938964844,367.3999938964844,359.010009765625,361.7900085449219,65130,0.0,0.0
2021-04-07,368.0,368.0,351.0,365.6000061035156,42373,0.0,0.0
2021-04-08,373.0,374.0,356.0,368.3299865722656,54260,0.0,0.0
2021-04-09,369.94000244140625,371.8999938964844,364.20001220703125,369.6199951171875,39517,0.0,0.0
2021-04-12,374.0,374.0,352.0,353.6199951171875,288216,0.0,0.0
2021-04-13,373.79998779296875,373.79998779296875,350.010009765625,356.4200134277344,73939,0.0,0.0
2021-04-15,373.20001220703125,373.20001220703125,346.0,357.7300109863281,79768,0.0,0.0
2021-04-16,364.95001220703125,364.95001220703125,354.20001220703125,362.7099914550781,46644,0.0,0.0
2021-04-19,364.95001220703125,364.95001220703125,351.57000732421875,356.69000244140625,169453,0.0,0.0
2021-04-20,363.0,363.0,346.0,357.82000732421875,55016,0.0,0.0
2021-04-22,362.95001220703125,362.95001220703125,350.04998779296875,358.2799987792969,40159,0.0,0.0
